,class
HP:0001530,(Growth abnormality(生长异常));
HP:0001531,(Growth abnormality(生长异常));
HP:0001533,(Growth abnormality(生长异常));
HP:0001537,(Abnormality of connective tissue(结缔组织异常));(Abnormality of the digestive system(消化系统异常));
HP:0001538,(Abnormality of the digestive system(消化系统异常));
HP:0001539,(Abnormality of connective tissue(结缔组织异常));(Abnormality of the digestive system(消化系统异常));
HP:0001540,(Abnormality of the musculature(肌肉组织异常));(Abnormality of the digestive system(消化系统异常));
HP:0001541,(Abnormality of the digestive system(消化系统异常));
HP:0001543,(Abnormality of the digestive system(消化系统异常));
HP:0001545,(Abnormality of the digestive system(消化系统异常));
HP:0001548,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));(Growth abnormality(生长异常));
HP:0001552,(Abnormality of the skeletal system(骨骼系统异常));
HP:0001555,(Abnormality of the skeletal system(骨骼系统异常));
HP:0001557,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001558,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001560,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001561,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001562,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001563,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001572,(Abnormality of head and neck(头部和颈部的异常));
HP:0001575,(Abnormality of the nervous system(神经系统异常));
HP:0001579,(Abnormality of the endocrine system(内分泌系统异常));
HP:0001580,(Abnormality of the endocrine system(内分泌系统异常));
HP:0001581,(Abnormality of the integument(体壁的异常));(Abnormality of the immune system(免疫系统异常));
HP:0001582,(Abnormality of the integument(体壁的异常));
HP:0001583,(Abnormality of the eye(眼部异常));
HP:0001591,(Abnormality of the skeletal system(骨骼系统异常));
HP:0001592,(Abnormality of head and neck(头部和颈部的异常));
HP:0001593,(Abnormality of head and neck(头部和颈部的异常));
HP:0001595,(Abnormality of the integument(体壁的异常));
HP:0001596,(Abnormality of the integument(体壁的异常));
HP:0001597,(Abnormality of the integument(体壁的异常));
HP:0001598,(Abnormality of the integument(体壁的异常));
HP:0001600,(Abnormality of the respiratory system(呼吸系统异常));
HP:0001601,(Abnormality of the respiratory system(呼吸系统异常));
HP:0001602,(Abnormality of the respiratory system(呼吸系统异常));
HP:0001604,(Abnormality of the respiratory system(呼吸系统异常));
HP:0001605,(Abnormality of the nervous system(神经系统异常));(Abnormality of the respiratory system(呼吸系统异常));
HP:0001607,(Abnormality of the respiratory system(呼吸系统异常));
HP:0001608,(Abnormality of the voice(声音异常));
HP:0001609,(Abnormality of the voice(声音异常));
HP:0001611,(Abnormality of the voice(声音异常));
HP:0001612,(Abnormality of the voice(声音异常));
HP:0001615,(Abnormality of the voice(声音异常));
HP:0001618,(Abnormality of the nervous system(神经系统异常));(Abnormality of the voice(声音异常));
HP:0001620,(Abnormality of the voice(声音异常));
HP:0001621,(Abnormality of the voice(声音异常));
HP:0001622,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001623,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001626,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001627,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001629,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001631,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001633,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001634,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001635,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001636,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001637,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001638,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001639,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001640,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001641,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001642,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001643,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001644,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001645,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001646,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001647,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001649,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001650,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001651,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001653,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001654,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001655,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001657,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001658,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001659,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001660,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001662,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001663,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001667,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001669,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001671,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001677,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001678,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001679,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001680,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001681,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001682,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001684,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001685,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001688,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001695,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001696,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001697,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001698,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001699,(Mortality/Aging(死亡/衰老));
HP:0001701,(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0001702,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001704,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001706,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001708,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001709,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001710,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001711,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001712,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001713,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001714,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001716,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001717,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001718,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001719,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001722,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001723,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001727,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001730,(Abnormality of the ear(耳部异常));
HP:0001732,(Abnormality of the digestive system(消化系统异常));
HP:0001733,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001734,(Abnormality of the digestive system(消化系统异常));
HP:0001735,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001737,(Abnormality of the digestive system(消化系统异常));
HP:0001738,(Abnormality of the digestive system(消化系统异常));
HP:0001741,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001742,(Abnormality of head and neck(头部和颈部的异常));
HP:0001743,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001744,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001746,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001747,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001748,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001751,(Abnormality of the ear(耳部异常));
HP:0001756,(Abnormality of the ear(耳部异常));
HP:0001757,(Abnormality of the ear(耳部异常));
HP:0001760,(Abnormality of limbs(肢体异常));
HP:0001761,(Abnormality of limbs(肢体异常));
HP:0001762,(Abnormality of limbs(肢体异常));
HP:0001763,(Abnormality of limbs(肢体异常));
HP:0001765,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001769,(Abnormality of limbs(肢体异常));
HP:0001770,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001771,(Abnormality of the musculature(肌肉组织异常));(Abnormality of limbs(肢体异常));(Abnormality of connective tissue(结缔组织异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0001772,(Abnormality of limbs(肢体异常));
HP:0001773,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001776,(Abnormality of limbs(肢体异常));
HP:0001782,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001783,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001785,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001786,(Abnormality of limbs(肢体异常));
HP:0001787,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001788,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001789,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001790,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001792,(Abnormality of the integument(体壁的异常));
HP:0001795,(Abnormality of the integument(体壁的异常));
HP:0001798,(Abnormality of the integument(体壁的异常));
HP:0001799,(Abnormality of the integument(体壁的异常));
HP:0001800,(Abnormality of the integument(体壁的异常));
HP:0001802,(Abnormality of the integument(体壁的异常));
HP:0001803,(Abnormality of the integument(体壁的异常));
HP:0001804,(Abnormality of the integument(体壁的异常));
HP:0001805,(Abnormality of the integument(体壁的异常));
HP:0001806,(Abnormality of the integument(体壁的异常));
HP:0001807,(Abnormality of the integument(体壁的异常));
HP:0001808,(Abnormality of the integument(体壁的异常));
HP:0001810,(Abnormality of the integument(体壁的异常));
HP:0001812,(Abnormality of the integument(体壁的异常));
HP:0001814,(Abnormality of the integument(体壁的异常));
HP:0001816,(Abnormality of the integument(体壁的异常));
HP:0001817,(Abnormality of the integument(体壁的异常));
HP:0001818,(Abnormality of the integument(体壁的异常));
HP:0001820,(Abnormality of the integument(体壁的异常));
HP:0001821,(Abnormality of the integument(体壁的异常));
HP:0001822,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001824,(Growth abnormality(生长异常));
HP:0001829,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001830,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001831,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001832,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001833,(Abnormality of limbs(肢体异常));
HP:0001836,(Abnormality of the musculature(肌肉组织异常));(Abnormality of limbs(肢体异常));(Abnormality of connective tissue(结缔组织异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0001837,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001838,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001839,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001840,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001841,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001842,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001844,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001845,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001847,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001849,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001850,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001852,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001857,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001863,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001864,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001869,(Abnormality of the integument(体壁的异常));(Abnormality of limbs(肢体异常));
HP:0001870,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001871,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001872,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001873,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001874,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001875,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001876,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001877,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001878,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001879,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001880,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001881,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001882,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001883,(Abnormality of limbs(肢体异常));
HP:0001884,(Abnormality of limbs(肢体异常));
HP:0001885,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001886,(Abnormality of the nervous system(神经系统异常));(Abnormality of limbs(肢体异常));
HP:0001888,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001889,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001890,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001891,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001892,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001894,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001895,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001896,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001897,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001899,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001901,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001902,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001903,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001904,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001907,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001908,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001909,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Neoplasm(肿瘤));(Abnormality of the immune system(免疫系统异常));
HP:0001911,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001912,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001915,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001917,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001919,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001920,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001922,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001923,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001927,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001928,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001929,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001931,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001933,(Abnormality of the integument(体壁的异常));(Abnormality of the cardiovascular system(心血管系统异常));(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001934,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001935,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001937,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001939,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001941,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001942,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001943,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001944,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001945,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001946,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001947,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001951,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001952,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001953,(Abnormality of the endocrine system(内分泌系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001954,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001956,(Growth abnormality(生长异常));
HP:0001958,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001959,(Abnormality of the nervous system(神经系统异常));
HP:0001960,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001962,(Abnormality of the cardiovascular system(心血管系统异常));
HP:0001965,(Abnormality of head and neck(头部和颈部的异常));
HP:0001966,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001969,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001970,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001971,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0001972,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001973,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001974,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001977,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001978,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001980,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));
HP:0001982,(Abnormality of blood and blood-forming tissues(血液和造血组织异常));(Abnormality of the immune system(免疫系统异常));
HP:0001985,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001987,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001988,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001989,(Abnormality of prenatal development or birth(胎儿产前发育或出生异常));
HP:0001991,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of limbs(肢体异常));
HP:0001992,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001993,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001994,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0001996,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001997,(Abnormality of the skeletal system(骨骼系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001998,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0001999,(Abnormality of head and neck(头部和颈部的异常));
HP:0002000,(Abnormality of head and neck(头部和颈部的异常));
HP:0002002,(Abnormality of head and neck(头部和颈部的异常));
HP:0002003,(Abnormality of head and neck(头部和颈部的异常));
HP:0002006,(Abnormality of head and neck(头部和颈部的异常));
HP:0002007,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0002009,(Abnormality of head and neck(头部和颈部的异常));
HP:0002010,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0002011,(Abnormality of the nervous system(神经系统异常));
HP:0002013,(Abnormality of the digestive system(消化系统异常));
HP:0002014,(Abnormality of the digestive system(消化系统异常));
HP:0002015,(Abnormality of the nervous system(神经系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0002017,(Abnormality of the digestive system(消化系统异常));
HP:0002018,(Abnormality of the digestive system(消化系统异常));
HP:0002019,(Abnormality of the digestive system(消化系统异常));
HP:0002020,(Abnormality of the digestive system(消化系统异常));
HP:0002021,(Abnormality of the digestive system(消化系统异常));
HP:0002023,(Abnormality of the digestive system(消化系统异常));
HP:0002024,(Abnormality of the digestive system(消化系统异常));
HP:0002025,(Abnormality of the digestive system(消化系统异常));
HP:0002027,(Abnormality of the nervous system(神经系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0002028,(Abnormality of the digestive system(消化系统异常));
HP:0002031,(Abnormality of the digestive system(消化系统异常));
HP:0002032,(Abnormality of the digestive system(消化系统异常));
HP:0002033,(Abnormality of the digestive system(消化系统异常));
HP:0002034,(Abnormality of the digestive system(消化系统异常));
HP:0002035,(Abnormality of the digestive system(消化系统异常));
HP:0002036,(Abnormality of connective tissue(结缔组织异常));(Abnormality of the digestive system(消化系统异常));
HP:0002037,(Abnormality of the immune system(免疫系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0002039,(Abnormality of the digestive system(消化系统异常));
HP:0002040,(Abnormality of the digestive system(消化系统异常));
HP:0002043,(Abnormality of the digestive system(消化系统异常));
HP:0002044,(Neoplasm(肿瘤));(Abnormality of the digestive system(消化系统异常));
HP:0002045,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0002046,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0002047,(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0002049,(Abnormality of the genitourinary system(泌尿生殖系统异常));(Abnormality of metabolism/homeostasis(代谢紊乱/稳态失衡));
HP:0002050,(Abnormality of the genitourinary system(泌尿生殖系统异常));
HP:0002055,(Abnormality of head and neck(头部和颈部的异常));
HP:0002056,(Abnormality of head and neck(头部和颈部的异常));
HP:0002057,(Abnormality of head and neck(头部和颈部的异常));
HP:0002058,(Abnormality of head and neck(头部和颈部的异常));
HP:0002059,(Abnormality of the nervous system(神经系统异常));
HP:0002060,(Abnormality of the nervous system(神经系统异常));
HP:0002061,(Abnormality of the nervous system(神经系统异常));(Abnormality of the musculature(肌肉组织异常));
HP:0002062,(Abnormality of the nervous system(神经系统异常));
HP:0002063,(Abnormality of the nervous system(神经系统异常));
HP:0002064,(Abnormality of the nervous system(神经系统异常));(Abnormality of the musculature(肌肉组织异常));
HP:0002066,(Abnormality of the nervous system(神经系统异常));
HP:0002067,(Abnormality of the nervous system(神经系统异常));
HP:0002068,(Abnormality of the nervous system(神经系统异常));(Abnormality of the digestive system(消化系统异常));
HP:0002069,(Abnormality of the nervous system(神经系统异常));
HP:0002070,(Abnormality of the nervous system(神经系统异常));
HP:0002071,(Abnormality of the nervous system(神经系统异常));
HP:0002072,(Abnormality of the nervous system(神经系统异常));
HP:0002073,(Abnormality of the nervous system(神经系统异常));
HP:0002075,(Abnormality of the nervous system(神经系统异常));
HP:0002076,(Abnormality of the nervous system(神经系统异常));
HP:0002078,(Abnormality of the nervous system(神经系统异常));
HP:0002079,(Abnormality of the nervous system(神经系统异常));
HP:0002080,(Abnormality of the nervous system(神经系统异常));
HP:0002084,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the nervous system(神经系统异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0002085,(Abnormality of head and neck(头部和颈部的异常));(Abnormality of the nervous system(神经系统异常));(Abnormality of the skeletal system(骨骼系统异常));
HP:0002086,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002087,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002088,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002089,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002090,(Abnormality of the respiratory system(呼吸系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0002091,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002092,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002093,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002094,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002097,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002098,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002099,(Abnormality of the respiratory system(呼吸系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0002100,(Abnormality of the respiratory system(呼吸系统异常));(Abnormality of the immune system(免疫系统异常));
HP:0002101,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002102,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002103,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002104,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002105,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002107,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002108,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002110,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002111,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002113,(Abnormality of the respiratory system(呼吸系统异常));
HP:0002119,(Abnormality of the nervous system(神经系统异常));
HP:0002120,(Abnormality of the nervous system(神经系统异常));
HP:0002121,(Abnormality of the nervous system(神经系统异常));
HP:0002123,(Abnormality of the nervous system(神经系统异常));
HP:0002126,(Abnormality of the nervous system(神经系统异常));
HP:0002127,(Abnormality of the nervous system(神经系统异常));
HP:0002131,(Abnormality of the nervous system(神经系统异常));
HP:0002132,(Abnormality of the nervous system(神经系统异常));
HP:0002133,(Abnormality of the nervous system(神经系统异常));
HP:0002134,(Abnormality of the nervous system(神经系统异常));
